,META,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-05-18,42.04999923706055,45.0,38.0,38.22999954223633,38.08451843261719,573576400.0,10.970499992370605,10.981499671936035,10.64050006866455,10.692500114440918,10.692500114440918,104634000.0,29.790000915527344,29.809999465942383,29.170000076293945,29.270000457763672,23.397010803222656,56205300.0,0.31700000166893005,0.31850001215934753,0.3005000054836273,0.3019999861717224,0.2769598066806793,567288000.0,19.06999969482422,19.407499313354492,18.6492862701416,18.942142486572266,15.961039543151855,732292400,15.569143295288086,15.751460075378418,14.861794471740723,14.953948974609375,14.900409698486328,239835606.0,1.891332983970642,1.897333025932312,1.7886669635772705,1.8373329639434814,1.8373329639434814,24247500.0
2012-05-21,36.529998779296875,36.65999984741211,33.0,34.029998779296875,33.90050506591797,168192700.0,10.701499938964844,10.99899959564209,10.640999794006348,10.905500411987305,10.905500411987305,71596000.0,29.100000381469727,29.790000915527344,29.059999465942383,29.75,23.780698776245117,38787900.0,0.30250000953674316,0.3087500035762787,0.3005000054836273,0.3072499930858612,0.2817744314670563,416260000.0,19.08928680419922,20.05500030517578,19.073213577270508,20.045713424682617,16.89093589782715,631106000,14.95668888092041,15.334772109985352,14.943985939025879,15.295418739318848,15.240656852722168,123477094.0,1.8386670351028442,1.9506670236587524,1.8079999685287476,1.9179999828338623,1.9179999828338623,22128000.0
2012-05-22,32.61000061035156,33.59000015258789,30.940000534057617,31.0,30.88203239440918,101786600.0,10.915499687194824,10.943499565124512,10.697999954223633,10.766500473022461,10.766500473022461,74662000.0,29.690000534057617,29.8799991607666,29.5,29.760000228881836,23.7886905670166,39504900.0,0.3070000112056732,0.3075000047683716,0.29899999499320984,0.3034999966621399,0.278335303068161,410140000.0,20.3410701751709,20.49571418762207,19.735000610351562,19.891786575317383,16.76123046875,694870400,15.278732299804688,15.287946701049805,14.8443603515625,14.963912010192871,14.910338401794434,122533571.0,2.006666898727417,2.0893330574035645,2.0,2.053333044052124,2.053333044052124,35493000.0
2012-05-23,31.3700008392334,32.5,31.360000610351562,32.0,31.87822723388672,73600000.0,10.73550033569336,10.8774995803833,10.559000015258789,10.86400032043457,10.86400032043457,84876000.0,29.350000381469727,29.399999618530273,28.639999389648438,29.110000610351562,23.269113540649414,65171000.0,0.30024999380111694,0.31150001287460327,0.2957499921321869,0.3109999895095825,0.2852134108543396,496000000.0,19.91071319580078,20.457143783569336,19.758214950561523,20.37714385986328,17.17020034790039,584897600,14.985081672668457,15.183090209960938,14.872255325317383,15.17960262298584,15.125256538391113,127600492.0,2.0373330116271973,2.069999933242798,1.9666670560836792,2.068000078201294,2.068000078201294,18306000.0
2012-05-24,32.95000076293945,33.209999084472656,31.770000457763672,33.029998779296875,32.9043083190918,50237200.0,10.848999977111816,10.883000373840332,10.635000228881836,10.76200008392334,10.76200008392334,62822000.0,29.15999984741211,29.299999237060547,28.760000228881836,29.06999969482422,23.237136840820312,52575000.0,0.3127500116825104,0.31325000524520874,0.3005000054836273,0.30274999141693115,0.2776475250720978,520420000.0,20.56678581237793,20.58928680419922,20.043928146362305,20.190000534057617,17.01251792907715,496230000,15.172130584716797,15.240873336791992,14.915842056274414,15.035144805908203,14.981315612792969,75935562.0,2.0833330154418945,2.0833330154418945,1.9793330430984497,2.018666982650757,2.018666982650757,16134000.0
2012-05-25,32.900001525878906,32.95000076293945,31.110000610351562,31.90999984741211,31.788570404052734,37149800.0,10.749500274658203,10.798999786376953,10.611000061035156,10.644499778747559,10.644499778747559,43428000.0,29.200000762939453,29.360000610351562,29.010000228881836,29.059999465942383,23.22914695739746,29507200.0,0.30250000953674316,0.3125,0.30250000953674316,0.3100000023841858,0.2842963933944702,391752000.0,20.163928985595703,20.20892906188965,19.945356369018555,20.081785202026367,16.92132568359375,328507200,14.968893051147461,14.987074851989746,14.652079582214355,14.733027458190918,14.680279731750488,143813034.0,2.010667085647583,2.0273330211639404,1.946666955947876,1.987333059310913,1.987333059310913,11355000.0
2012-05-29,31.479999542236328,31.690000534057617,28.649999618530273,28.84000015258789,28.730253219604492,78063400.0,10.71500015258789,10.827500343322754,10.614500045776367,10.737500190734863,10.737500190734863,53878000.0,29.3799991607666,29.719999313354492,29.219999313354492,29.559999465942383,23.62882423400879,37758800.0,0.3149999976158142,0.3199999928474426,0.3137499988079071,0.3179999887943268,0.29163312911987305,310000000.0,20.389286041259766,20.5,20.18964385986328,20.438213348388672,17.221656799316406,380508800,14.839627265930176,14.922316551208496,14.653077125549316,14.803014755249023,14.750016212463379,104618672.0,2.000667095184326,2.128667116165161,2.000667095184326,2.1126670837402344,2.1126670837402344,24750000.0
2012-05-30,28.700000762939453,29.549999237060547,27.860000610351562,28.190000534057617,28.082727432250977,57267900.0,10.607000350952148,10.64900016784668,10.387499809265137,10.46150016784668,10.46150016784668,81564000.0,29.350000381469727,29.479999542236328,29.1200008392334,29.34000015258789,23.45296287536621,41585500.0,0.31450000405311584,0.3167499899864197,0.3087500035762787,0.31424999237060547,0.28819403052330017,379792000.0,20.328571319580078,20.71392822265625,20.234285354614258,20.684642791748047,17.42930793762207,529429600,14.649091720581055,14.742241859436035,14.533774375915527,14.650835037231445,14.598381996154785,76553871.0,2.072000026702881,2.0946669578552246,2.0160000324249268,2.0273330211639404,2.0273330211639404,19608000.0
